Timestamp,Select Your Official Full Name,Official School Email Address,Phone Number / WhatsApp
9/3/2026 12:00:01,Mr. Ayiku,hectoraryiku@stadelaideschool.com,+233 24 123 4567
9/3/2026 12:02:15,Mrs. Abigail Sackey,abigailsackey@stadelaideschool.com,+233 24 234 5678
9/3/2026 12:05:30,Mrs. Promise Ankrah,promise.ankrah@stadelaideschool.com,+233 24 345 6789
9/3/2026 12:07:44,Mr. Derrick Thompson,derrick.thompson@stadelaideschool.com,+233 24 456 7890
9/3/2026 12:10:12,Mr. James Tettey,james.tettey@stadelaideschool.com,+233 24 567 8901
9/3/2026 12:12:33,Miss Ruth Lartey,ruth.lartey@stadelaideschool.com,+233 24 678 9012
9/3/2026 12:15:00,Mrs. Victoria Ansah,victoria.ansah@stadelaideschool.com,+233 24 789 0123
9/3/2026 12:18:22,Mr. Joseph Liman,joseph.liman@stadelaideschool.com,+233 24 890 1234
9/3/2026 12:20:45,Samuel,samuel@stadelaideschool.com,+233 24 901 2345
9/3/2026 12:22:11,Mariama Zachari,mariama.zachari@stadelaideschool.com,+233 24 012 3456
9/3/2026 12:25:00,Mrs. Pauline Asante-Nti,pauline.asante-nti@stadelaideschool.com,+233 20 123 4567
9/3/2026 12:28:19,Mrs. Evelyn Bonnie,evelyn.bonnie@stadelaideschool.com,+233 20 234 5678
9/3/2026 12:30:45,Mr. William Dickson,william.dickson@stadelaideschool.com,+233 20 345 6789
9/3/2026 12:33:10,Miss Gloria Cofie,gloria.cofie@stadelaideschool.com,+233 20 456 7890
9/3/2026 12:35:50,Mrs. Ama Kwatsewaa Opong-Nyarko,ama.kwatsewaa.opong-nyarko@stadelaideschool.com,+233 20 567 8901
9/3/2026 12:38:05,Mr. Sebastian Adu,sebastian.adu@stadelaideschool.com,+233 20 678 9012
9/3/2026 12:40:22,Mr. Jerome Batalina,jerome.batalina@stadelaideschool.com,+233 20 789 0123
9/3/2026 12:43:00,Miss Bridget Boboli,bridget.boboli@stadelaideschool.com,+233 20 890 1234
9/3/2026 12:45:12,Gifty,gifty@stadelaideschool.com,+233 20 901 2345
9/3/2026 12:48:30,Mr. Dickson Narh,dickson.narh@stadelaideschool.com,+233 50 123 4567
9/3/2026 12:50:15,Felix Agyemang Kumoji,felix.agyemang.kumoji@stadelaideschool.com,+233 50 234 5678
9/3/2026 12:52:40,Jacqueline Somuah,jacqueline.somuah@stadelaideschool.com,+233 50 345 6789
9/3/2026 12:57:10,Prince Dunyoh,princedunyoh@stadelaideschool.com,+233 24 000 1111
9/3/2026 12:58:30,Theodora Hammond,theodorahammond@stadelaideschool.com,+233 24 000 2222
